"# of Use","# de Uso"
"%1$s incl tax.","%1$s de imposto incluído"
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"%s and above","%s ou mais"
"Retrieve product link types","Recuperar tipos de link do produto"
"Retrieve product tier prices","Recuperar faixas de preço do produto"
"Retrieve product types",""
"Retrieve products data","Recuperar dados de produtos"
"Retrieve products list by filters","Recuperar lista de produtos com filtros"
"Reviews","Resenhas"
"Roll Over for preview","Passe o mouse para visualizar"
"Root","Raiz"
"SKU","Unidade de Manutenção de Estoque"
"SKU length should be %s characters maximum.",""
"Save","Salvar"
"Save Attribute",""
"Save Attribute Set","Salvar Conjunto de Atributos"
"Save Category","Salvar Categoria"
"Save Search","Salvar Busca"
"Save and Continue Edit","Salvar e continuar a editar"
"Saved %d record(s)","%d registro(s) salvo(s)"
"Scope","Limite"
"Scope must not be changed, because the attribute is used in configurable products.","O limite não pode ser alterado, porque o atributo é usado em produtos configuráveis."
"Search","Pesquisa"
"Search Engine Optimizations","Otimizações nos Mecanismos de Busca"
"Search Information",""
"Search Query","Palavras-Chave da Busca"
"Search Term with such search query already exists.",""
"Search Weight","Peso da Busca"
"Searchable","Passível de Busca"
"See price before order confirmation.","Ver preço antes de confirmar pedido."
"Select Category...",""
"Select Configurable Attributes ","Selecionar Atributos Configuráveis"
"Select Product...",""
"Select type of option","Selecionar tipo de opção"
"Select type options required values rows.","Selecione as linhas de valores exigidas para opções de tipo."
"Selected Product Types","Tipos de Produto Selecionados"
"Selected configuration is not available.","Configuração selecionada não está disponível."
"Send Count",""
"Set Ascending Direction","Ajustar Direção como Crescente"
"Set Descending Direction",""
"Set Name","Ajustar Nome"
"Set Root Category for Store",""
"Set root category for this store in the <a href=""%s"">configuration</a>","Ajustar categoria de raiz para esta loja na <a href=""%s"">configuração</a>"
"Set special price",""
"Set/Get current store view","Defina/Obtenha atual vista de armazenamento"
"Settings",""
"Shop By","Comprar Por"
"Shopping Options","Opções de Compra"
"Show",""
"Show Details","Mostrar Detalhes"
"Show Tags","Mostrar Marcas"
"Simple Product","Produto Simples"
"Site Map","Mapa do Site"
"Sitemap","Mapa do Site"
"Skip import row, is not valid value ""%s"" for field ""%s""",""
"Skip import row, required field ""%s"" for the new customer is not defined.",""
"Skip import row, the value ""%s"" is invalid for field ""%s""",""
"Skipping import row, required field ""%s"" for new products is not defined.","Ignorando linha de importação. O campo obrigatório ""%s"" para novos produtos não foi definido."
"Skipping import row, required field ""%s"" is not defined.","Ignorar linha de importação, campo ""%s"" exigido não está definido."
"Skipping import row, store ""%s"" field does not exist.",""
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.",""
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Alguns dos produtos processados ​​não têm valor SKU definido. Por favor preencha-o antes de executar operações sobre estes produtos."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Alguns dos produtos abaixo não têm todas as opções necessárias. Por favor edite-os e configure todas as opções necessárias."
"Sort By","Classificar Por"
"Sort Order","Classificar pedido"
"Source Model",""
"Special Expires On: %s","Especial Expira Em: %s"
"Special Price:",""
"Special Price: %s","Preço Especial: %s"
"Starting at:","A partir de:"
"Static","Estático"
"Static block and products","Bloco estático e produtos"
"Static block only","Só bloco estático"
"Status","Status"
"Stock Availability","Disponibilidade de Estoque"
"Store","Loja"
"Store View","Visualização da loja"
"Stretch","Extensão"
"Subscribe to RSS Feed","Subscrever RSS Feed"
"Super product attributes configuration","Configuração de atributos de super produto"
"Synonym For","Sinónimo Para"
"System Properties","Propriedades do Sistema"
"Tag Name","Nome de Marca"
"Tax","Taxas"
"Template",""
"Text","Texto"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","O módulo de Catálogo Simples tem um limite de %2\$d atributos filtráveis ​​e/ou classificáveis. Atualmente existem %1\$d deles. Por favor reduza o número de atributos filtráveis​​/classificáveis​​ a fim de usar este módulo"
"The attribute model is not defined","O modelo de atributo não está definido"
"The attribute set has been saved.","O conjunto de atributos foi salvo."
"The base directory to upload file is not specified.","O diretório base para fazer o carregamento do arquivo não está especificado."
"The category has been deleted.",""
"The category has been saved.","A categoria foi salva."
"The comparison list was cleared.","A lista de comparação foi limpa."
"The file '%s' for '%s' has an invalid extension","O arquivo '%s' para '%s' possui uma extensão inválida"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server",""
"The file you uploaded is larger than %s Megabytes allowed by server","O arquivo carregado é maior do que os %s Megabytes permitidos pelo servidor"
"The filters must be an array.",""
"The image contents is not valid base64 data.","O conteúdo da imagem não é um dado de base64 válido."
"The image is not specified.","A imagem não está especificada."
"The model collection resource name is not defined.","O nome do modelo de coleção de recurso não está definido."
"The product %s has been added to comparison list.",""
"The product %s has been removed from comparison list.","O produto %s foi removido da lista de comparação."
"The product attribute has been deleted.","O atributo do produto foi eliminado."
"The product attribute has been saved.","O atributo do produto foi salvo."
"The product has been created.","O produto foi criado."
"The product has been deleted.","O produto foi eliminado."
"The product has been duplicated.","O produto foi duplicado."
"The product has been saved.",""
"The product has required options","O produto requer opções"
"The review has been deleted","A análise foi apagada"
"The review has been saved.","A análise foi salva."
"The review was removed by another user or does not exist.","A análise foi removida por outro usuário ou não existe."
"The search was deleted.",""
"The text is too long","O texto é muito longo"
"There are no %s available.","Não há %s disponíveis."
"There are no customers for this alert","Não há clientes para este alerta"
"There are no customers for this alert.","Não há clientes para este alerta."
"There are no products matching the selection.","Não há produtos que correspondam à seleção."
"There was an error while request processing.","Houve um erro ao processar o pedido."
"This Attribute no longer exists","Este atributo não existe mais"
"This attribute cannot be deleted.","Este atributo não pode ser apagado."
"This attribute cannot be edited.","Este atributo não pode ser editado."
"This attribute cannot be updated.","Este atributo não pode ser atualizado."
"This attribute is used in configurable products.","O atributo é usado em produtos configuráveis."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Este atributo é usado em produtos configuráveis​​. Você não pode removê-lo do conjunto de atributos."
"This attribute no longer exists","Este atributo não existe mais"
"This attribute set no longer exists.",""
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contém atributos, usados ​​em produtos configuráveis. Por favor mova esses atributos para outro grupo e tente novamente."
"This group contains system attributes. Please move system attributes to another group and try again.",""
"This is a required option","Esta é uma opção necessária"
"This product no longer exists.","Este produto não existe mais."
"This search no longer exists.","Esta pesquisa não existe mais."
"This setting will be applied when all prices in the specific price interval are equal.","Essa configuração será aplicada quando todos os preços no intervalo de preços específico forem iguais."
"Tier Pricing","Preços por Nível"
"Tile","Empilhar"
"Time Format","Formato de Tempo"
"Title",""
"To reindex the enabled product(s), the store or product must be specified",""
"To see product price, add this item to your cart. You can always remove it later.","Para ver o preço do produto, adicione este item ao seu carrinho. Você pode sempre removê-lo mais tarde."
"Top/Left",""
"Top/Right","Topo/Direita"
"Total Qty Base Items",""
"Total incl. Tax: %1$s","Total incl. Taxas: %1$s"
"Total of %d record(s) have been deleted.",""
"Total of %d record(s) have been updated.","Total de %d registro(s) foram atualizados."
"Total of %d record(s) were updated","Total de %d registro(s) foram atualizados"
"Type","Tipo"
"URL Rewrite Management","Gestão Reescrita de URL"
"Unable to complete this request.","Não é possível concluir este pedido."
"Unable to find a search term to delete.","Não é possível encontrar um termo de pesquisa para excluir."
"Unable to find an attribute to delete.",""
"Unable to get the product ID.",""
"Unassigned Attributes","Atributos Não Atribuídos"
"Unknown EAV indexer type ""%s"".","Tipo de indexador EAV ""%s"" desconhecido."
"Unknown attribute: %s.","Atributo desconhecido: %s."
"Unsupported product type ""%s"".","Não há suporte para tipo de produto ""%s""."
"Up-sells","Vendas Extras"
"Update","Atualizar"
"Update Attributes","Atualização de Atributos"
"Update Tier Price","Atualização de Preço por Nível"
"Update assigned product","Atualização do produto designado"
"Update attribute","Atualizar atributo"
"Update attributes",""
"Update category","Atualizar categoria"
"Update custom option of product",""
"Update product","Atualizar produto"
"Update product image","Atualização da imagem do produto"
"Update product link",""
"Update product tier prices","Atualização dos preços do nível do produto"
"Update value of custom option","Atualizar valor de opção personalizada"
"Upload new product image ","Carregar nova imagem do produto"
"Use Canonical Link Meta Tag For Categories",""
"Use Canonical Link Meta Tag For Products",""
"Use Categories Path for Product URLs","Use Caminho de Categorias para URLs de Produto"
"Use Config Settings","Utilizar opções de configuração"
"Use Default Value","Utilizar valor padrão"
"Use Flat Catalog Category",""
"Use Flat Catalog Product","Use Produto de Catálogo Base"
"Use In Layered Navigation","Use em Navegação em Camadas"
"Use In Search Results Layered Navigation","Use Em Resultados de Pesquisa de Navegação em Camadas"
"Use JavaScript Calendar",""
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use URLs Estáticos para Conteúdo Mídia em WYSIWYG para Catálogo"
"Use To Create Configurable Product","Use Para Criar Produto Configurável"
"Use Tree Like Category Sitemap","Use Categoria Mapa do Site Como Árvore"
"Use config","Use config"
"Use default","Use padrão"
"Use for Promo Rule Conditions","Use para as Condições de Regras de Promoção"
"Use four-digit year format.",""
"Use in Advanced Search","Use em Busca Avançada"
"Use in Layered Navigation","Use em Navegação em Camadas"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Use em Navegação em Camadas<br/>(Pode ser usado apenas com o tipo de catálogo de entrada ""Suspenso"", ""Dropdown"")"
"Use in Quick Search","Use em Busca Rápida"
"Used for Sorting in Product Listing",""
"Used in Product Listing","Usado na Lista de Produtos"
"Value for ""%s"" is invalid.","Valor para ""%s"" é inválido."
"Value for ""%s"" is invalid: %s","Valor para ""%s"" é inválido: %s"
"Varchar","Varchar"
"View as","Ver como"
"Virtual Product","Produto Virtual"
"Visibility","Visibilidade"
"Visible","Visível"
"Visible on Catalog Pages on Front-end","Visível em Páginas de Catálogo em Front-end"
"Visible on Product View Page on Front-end",""
"WYSIWYG Editor",""
"Watermark","Marca d'água"
"Watermark Default Size","Tamanho Pedifinido de Marca D'Água"
"Watermark Opacity, Percent","Opacidade da Marca d'água, Percentagem"
"Watermark Position","Posição da Marca d'água"
"Website","Website"
"Website Item Must be checked","Item do Site Deve ser Verificado"
"Website Store Must be checked","Site da Loja Deve ser verificado"
"Websites","Sites"
"What's this?","O que é isso?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Se é para mostrar a opção ""Todos"" na listagem ""Mostrar X Por Página""."
"Will make search for the query above return results for this search.","Fará com que a pesquisa pela consulta acima gere resultados para esta pesquisa."
"Wrong BuyRequest instance in options group.","Instância BuyRequest errada no grupo de opções."
"Wrong configuration item instance in options group.","Instância de configuração errada de item no grupo de opções."
"Wrong configuration item option instance in options group.","Instância de opção de configuração de item errada no grupo de opções."
"Wrong option instance type in options group.","Tipo de instância de opção errada no grupo de opções."
"Wrong option type to get group instance.",""
"Wrong product instance type in options group.","Tipo de instância de produtos errada no grupo de opções."
"Wrong product type filter specified",""
"Wrong product type to extract configurable options.","Tipo de produto errado para extrair opções configuráveis."
"Year Range",""
"Yes","Sim"
"You cannot remove system attribute from this set.","Você não pode remover atributo de sistema a partir deste conjunto."
"You have no items to compare.","Você não tem itens para comparar."
"You may also be interested in the following product(s)","Você também pode se interessar no(s) seguinte(s) produto(s)"
"Zoom In","Aumentar"
"Zoom Out","Diminuir o Zoom"
"and",""
"and above",""
"categories",""
"each","cada"
"ex. http://domain.com","ex. http://domínio.com"
"leave blank if its not an image","deixe em branco se não for uma imagem"
"per page","por página"
"products","produtos"
"px.","px."
"save","salvar"
"select all","marcar todos"
"unselect all","desmarcar todos"
"x","x"
"",""
