Sales,Sprzedaż
Unable to find a page to delete,Nie znaleziono strony do usunięcia
Purchased from (store),Kupione w sklepie
Added From,Dodano z
Payment Method,Forma płatności
Poll was successfully saved,Ankieta została zapisana
New Rating,Nowa ocena
Delete Tier,Usuń poziom
Telephone,Telefon
New Page,Nowa strona
Error Text,Tekst błędu
Edit Rule '%s',Edycja grupy uprawnień '%s'
Page Information,Informacje o stronie
Delete Page,Usuń stronę
There are no items in customer's wishlist at the moment,Nie ma produktów na liście życzeń klienta
This attribute no longer exists,Taka cecha nie istnieje
CMS Pages, Strony CMS
Attribute set was successfully removed.,Zestaw cech został usunięty
You successfully logged out.,Wylogowałeś się
Total Tags,Tagów w sumie
Visibility,Widoczny
Edit Template,Edycja szablonu
Frontend Properties,Ustawienia sklepu od strony klienta
Pending,Oczekujący
Error while deleting a group. Please try again later.,Błąd w trakcie kasowania grupy. Ponów próbę.
Use website,Użyj witryny
No problems found,Nie znaleziono problemów
Edit Store '%s',Edycja sklepu '%s'
Delete Customer Group,Usuń grupę klientów
CMS Blocks,Bloki w systemie zarządzania treścią
Popular Tags,Popularne tagi
Edit Page,Edycja strony
Edit Tax Rate,Edycja stawki podatku
Set Name,Nazwa zestawu
Tax class,Klasa podatku
Add New Rule,Dodaj nową regułę
Uses per customer,Użyć na klienta
HTTPS (SSL),HTTPS (SSL)
Template Content,Treść szablonu
Order was not cancelled,Zamówienie nie zostało anulowane
Invoice #%s,Faktura nr. #%s
Comparable on Front-end,Porównywalne w sklepie
Save Template,Zapisz szablon
Newsletter Subscription,Subskrybcja newslettera
Delete User,Usuń użytkownika
"""Invalid Shipping Price """"%s"""" in the Row #%s"",""Błędna cena dostawy """"%s"""" w wierszu #%s"""
Customers Tags,Tagi klientów
Image,Zdjęcie
Subscribers From,Subskrybent OD
Account Information,Informacje o koncie
Order status was successfully changed,Status został zmieniony
New Set Name,Nowa nazwa zestawu
Create Order,Utwórz zamówienie
Invoice was not saved,Faktura nie została zapisana
Invoice was updated succesfully,Faktura została zaktualizowana
Invoice #,Faktura nr.
Static,Statyczny
Date Updated,Data aktualizacji
Tag use,Użycie taga
Order was successfully cancelled,Zamówienie zostało anulowane
Message,Wiadomość
Subject,Temat
Save Customer Group,Zapisz grupę klientów
This page no longer exists,Ta strona nie istnieje
Search was successfully saved,Wyszukiwanie zostało zapisane
Rating information,Informacje o ocenie
Answer Title,Tytuł odpowiedzi
Order #%s (%s),Zamówienie nr.%s (%s)
No,Nie
Edit Invoice #,Edycja faktury nr.
Edit Attribute Set '{$this->_getSetData()->getAttributeSetName()}',Edytuj zestaw cech '{$this->_getSetData()->getAttributeSetName()}'
All Products,Wszystkie produkty
Export CSV,Export CSV
Save And Resume,Zapisz i kontynuuj.
View Newsletter,Zobacz newsletter
To Date,Data do
Matching Products,Produkty spełniające kryteria
The page you are trying to save no longer exists,Strona którą chcesz zapisać nie istnieje
Save Class,Zapisz klasę
Edit %s Tax Class,Edycja klasy podatku %s
User description,Opis użytkownika
Config,Konfiguracja
Order Total,Suma zamówienia
Store,Sklep
"""Please, select Customer Tax Class"",""Wybierz klasę podatku dla klienta"""
Error while saving this set. Set with the same name already exists.,Nie udało się zapisać zestawu. Zestaw o takiej nazwie już istnieje.
Add New Role,Dodaj nową grupę uprawnień
Discount,Rabat
Unsubscribe Selected,Wypisz zaznaczonych z newslettera
Yes/No,Tak/Nie
Edit Email Template,Edycja szablonu email
Visible In,Widoczny w
Manage Blocks,Zarządzaj blokami
New Tax Rule,Nowa reguła podatku
This block no longer exists,Ten blok już nie istnieje
Delete Attribute,Usuń cechę
Decimal,Wartość decymalna
Edit System Template,Edycja szablonu systemowego
Frontend Model,Frontend Model
Default Store,Domyślny sklep
Detailed Rating,Szczegółowa ocena
Save And Continue Edit,Zapisz i kontynuuj edycję
Are you sure you want to do this?,Czy na pewno?
Customer Tax Class,Klasa podatku dla klienta
Feature Products,Produkty polecane
New Review,Nowa recenzja
Number of Uses,Ilość użyć
Invalid Answer,Błędna odpowiedź
Website Information,Informacje o witrynie
Attribute set with the same name already exists.,Zestaw cech o podanej nazwie już istnieje.
Searchable,Możliwe wyszukiwanie
Error while saving this role. Please try again later.,Błąd podczas zapisu grupy. Ponów próbę.
Group was successfully deleted,Grupa została usunięta
Order was not changed,Zamówienie nie zostało zmienione
Per Item,Za sztukę
Edit Product Attribute,Edycja cechy produktu
System Properties,Właściwości systemowe
County,Powiat
General Information,Informacje ogólne
ex. http://domain.com,np. http://domena.pl
Manage Catalog Categories,Zarządzaj kategoriami
Wishlist vs. Regular Order,Lista życzeń względem zwykłego zamówienia
New Template,Nowy szablon
Delete Website,Usuń witrynę
All stores,Wszystkie sklepy
Purchased On,Kupiono dnia
Edit Order Status,Edycja statusu zamówienia
Layout,Wygląd
Password Confirmation,Potwierdzenie hasła
Tag was successfully deleted,Tag został usunięty
Catalog Searches,Wyszukiwania w sklepie
To,Do
Error while deleting this role. Please try again later.,Błąd podczas kasowania grupy. Ponów próbę.
Select All Stores,Wybierz wszystkie sklepy
Offline,Offline
Recently Viewed,Ostatnio oglądane
Description,Opis
Tax class was successfully deleted,Klasa podatku została usunięta
Are you sure?,Czy na pewno?
Never,Nigdy
Block Information,Informacje o bloku
Email,Email
Included Customer Groups,Uwzględnione grupy klientów
Disable,Wyłącz
Delete Class,Usuń klasę
Poll Information,Informacje o ankiecie
Create Newsletter Template,Stwórz szablon newslettera
Coupons,Kupony
Customer,Klient
Last Review,Ostatnia recenzja
Polls,Ankiety
Edit,Edycja
Country,Państwo
Remove,Usuń
Account successfully saved,Konto zostało zapisane
Days in Wishlist,Dni na liście życzeń
Page was successfully saved,Strona została zapisana
Manage Product Sets,Zarządzaj zestawami produktów
Review Details,Szczegóły recenzji
Add New Rating,Dodaj nową ocenę
for,dla
You cannot update this attribute,Nie można zaktualizować cechy
Attribute Code,Kod cechy
Add New Set,Dodaj nowy zestaw
Associated Products,Produkty powiązane
Edit Newsletter Template,Edycja szablonu newslettera
There is already a customer registered using this email,W bazie istnieje już klient używający tego adresu email
Processed,Przetwarzanie
Credit Card Type,Typ karty kredytowej
Rating isn't Available,Ocena niedostępna
"""This tab contains invalid data. Please, solve the problem before saving."",""W tej zakładce znajdują się błędne dane. Popraw je zanim zapiszesz zmiany"""
Remove Item,Usuń
Subscribe to Newsletter,Zapisz na newsletter
Are you sure that you want to delete this template?,Czy na pewno chcesz usunąć ten szablon?
3 stars,3 gwiazdki
Order Date: %s,Data zamówienia: %s
Number of times wishlists have been shared (emailed): %s,Ilość razy kiedy lista życzeń została wysłana do innych: %s
Double click on a group to rename it,Kliknij na grupie dwukrotnie aby zmienić jej nazwę
Total Due,Pozostało
Gift Certificate,Bon prezentowy
Assigned Answers,Przypisane odpowiedzi
Fax,Fax
Magento Admin,Administracja Magento
Newsletter Message Preview,Podgląd newslettera
"Name on the Card: %s,""<strong>Nazwa na karcie:</strong> <span class=""""nowrap"""">%s</span>"""
4 stars,4 gwiazdki
Company,Firma
Invoice Date,Data faktury
Visitors,Odwiedzający
5 stars,5 gwiazdek
Choose Store,Wybierz sklep
Import Tax Rates,Importuj stawki podatku
Attribute Name:,Nazwa cechy:
Product In Stores,Produkt w sklepach
Option Title:,Tytuł opcji:
Order Status,Status zamówienia
Shipping,Dostawa
Unassigned Attributes,Nieprzypisane cechy
"""Sorry, this feature is coming soon..."",""Ta funkcjonalność pojawi się niedługo. Przepraszamy..."""
Option,Opcja
Add User to Role,Dodaj użytkownika do grupy
Invoice Status: %s,Status faktury: %s
Magento Commerce - Administrative Panel,Magento Commerce - Panel Administracyjny
Fixed,Stały
Name on the Card,Nazwa na karcie
Move Item to:,Przenieś do:
Same as Billing Address,Taki sam jak adres płatnika
Are you sure you want to cancel adding of this address?,Czy na pewno chcesz anulować dodawanie tego adresu?
Interface Locale: %s,Wartość locale: %s
Apply Coupon Code,Zastosuj kod kuponu
Invoice Date: %s,Data faktury: %s
"Expiration Date: %s,""<strong>Data ważności:</strong> <span class=""""nowrap"""">%s</span>"""
per page,na stronę
Add New Class,Dodaj nową klasę
Super product attributes configuration,Konfiguracja cech dla produktów wiązanych
Magento ver. %s,Magento <strong>ver. %s</strong>
Who's Online,Osoby online
Previous page,Poprzednia strona
Something went wrong...,Wystąpił nieoczekiwany błąd...
Lifetime Sales,Całkowita sprzedaż
Default Billing Address,Domyślny adres płatnika
"""Set root category for this store in the <a href=""""%s"""">configuration</a>"",""Ustaw kategorię podstawową dla sklepu w <a href=""""%s"""">Konfiguracji</a>"""
Set as Default Shipping Address,Ustaw jako podstawowy adres wysyłki
 and above., i powyżej.
Logged in as %s,Zalogowany jako <strong>%s</strong>
Failed,Niepowodzenie
Are you sure that you want to delete this tag?,Czy na pewno chcesz usunąć ten tag?
Option:,Opcja:
Customers that have wishlist: %s%,Klienci posiadający listę życzeń: %s%
Are you sure you want to delete this address?,Czy na pewno chcesz skasować ten adres?
Percentage,Procent
Log in to Admin Panel,<em>Zaloguj się</em> do Panelu Administracyjnego
Thumbnail,Miniatura
Please enter a new group name,Wpisz nazwę nowej grupy
Backups Control,Zarządzanie kopiami zapasowymi
Add to Queue,Dodaj do kolejki
Number of items bought from a wishlist: %s,Ilość produktów zakupionych z listy życzeń: %s
Newsletter Subscribers,Subskrybenci newslettera
Set as Default Billing Address,Ustaw jako domyślny adres płatnika
Are you sure you want to delete it?,Czy na pewno skasować?
"""We're in our typing table, coding away more features for Magento. Thank you for your patience."",""We're in our typing table, coding away more features for Magento.<br/>Thank you for your patience."""
User Name:,Nazwa użytkownika:
Order Comment:,Komentarze do zamówienia:
Card Verification Number,Numer CVV2" Copyright 2007 Varien. Magento is a trademark of Irubin Consulting Inc,""&copy"" Copyright 2007 <a href=""""http://www.varien.com"""" target=""""varien-external"""">Varien</a>. Magento is a trademark of Irubin Consulting Inc"""
"&copy Copyright 2007 Varien. Magento is a trademark of Irubin Consulting Inc,""&copy Copyright 2007 <a href=""""http://www.varien.com"""" target=""""varien-external"""">Varien</a>. Magento is a trademark of Irubin Consulting Inc"""
Default Shipping Address,Domyślny adres dostawy
Customer Balance,Stan konta klienta
Current Configuration Scope:,Aktualnie edytujesz ustawienia:
Please select one of each of the ratings above,Wybierz po jednej ocenie w każdej sekcji powyżej
Log Out,Wyloguj się
"""Sorry, no quotes are available for this order at this time."",""Sorry, no quotes are available for this order at this time."""
Customer has no addresses,Klient nie posiada adresów
Comment,Komentarz
Loading...,Wczytywanie...
Credit Memo Date: %s,Data dokumentu kredytowego: %s
Price:,Cena:
Qty To Return,Ilość do zwrotu
New Customer Address,Nowy adres klienta
Export to:,Exportuj do:
Images,Zdjęcia
Total Paid,Zapłacono w sumie
"Credit Card Number: %s,""<strong>Kod CVV2:</strong> <span class=""""nowrap"""">%s</span>"""
Update Qty,Aktualizuj ilość
Product Categories,Kategorie produktu
City,Miasto
Items Shipped,Dostarczone produkty
Select from existing customer addresses:,Wybierz spośród istniejących adresów klienta:
Please confirm site switching. All data that hasn't been saved will be lost.,Potwierdź przełączenie widoku. Niezapisane dane zostaną utracone.
Primary Billing Address,Podstawowy adres płatnika
Order History,Historia zamówień
Date and Time,Data i Czas
Street Address,Ulica
Are you sure you want to delete this category?,Czy na pewno usunąć kategorię?
User Roles,Uprawnienia użytkowników
Answer Title:,Tytuł odpowiedzi:
Customer Group: %s,<strong>Grupa klientów:</strong> %s
Groups,Grupy
Are you sure the you want to remove this item?,Czy na pewno chcesz usunąć ten produkt?
Number of wishlist conversions: %s,Liczba konwersji za pomocą listy życzeń: %s
Unable to complete request. Please try again later.,Nie udało się zrealizować zadania. Ponów próbę.
Global Record Search,Globalne wyszukiwanie
Send Comment to the Customer,Wyślij komentarze do klienta
Sort Order,Kolejność wyświetlania
Please select one or more attributes.,Wybierz jedną lub więcej cech
Please add one or more options,Dodaj jedną lub więcej opcji
Connect with the Magento Community,Dołącz do społeczności Magento
Manage Options (values of your attribute),Zarządzaj opcjami (wartościami cech)
Add New Tax Rule,Dodaj nową regułę dla podatku
Are you sure you want to delete this user from this role?,Czy chcesz usunąć tego użytkownika z tej grupy?
"Help Us Keep Magento Healthy - Report All Bugs,""Help Us Keep Magento Healthy - <a href=""""http://www.magentocommerce.com/bug-tracking"""" target=""""varien_external""""><strong>Report All Bugs</strong</a>>"""
Dashboard Control,Dashboard Control
Credit Card Number,Numer karty kredytowej
Total %d records found,Znaleziono w sumie <strong>%d</strong> rekordów
Sales Statistics,Statystyki sprzedaży
Purchase Order Number,Numer zamówienia
Average Sale,Średnia sprzedaż
Log into Magento Admin Page,Zaloguj się w panelu
Account Created in: %s,<strong>Konto założone w :</strong> %s
Order Status: %s,Status zamówienia: %s
Password:,Hasło:
Personal Information,Informacje osobiste
Votes Count:,Ilość głosów:
Next page,Następna strona
(Copy data from: %s),(Kopiuj dane z: %s)
Export Tax Rates,Eksportuj stawki podatku
1 star,1 gwiazdka
Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.,Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.
Add New Template,Dodaj nowy szablon
Change Order Status,Zmień status zamówienia
"Credit Card Type: %s,""<strong>Typ karty kredytowej:</strong> <span class=""""nowrap"""">%s</span>"""
Add to Order,Dodaj do zamówienia
What is this?,Co to jest?
Invoice Status: Paid,Status faktury: opłacona
Customer Addresses,Adresy klienta
"Purchase Order Number: %s,""<strong>Numer zamówienia:</strong> <span class=""""nowrap"""">%s</span>"""
Expiration Date: %s/%s,Data ważności: %s/%s
Expiration Date,Data ważności
Last Log In: %s (%s),<strong>Ostatnie logowanie:</strong> %s (<strong>%s</strong>)
Number of wishlists: %s,Ilość list życzeń: %s
Big Image,Duże zdjęcie
Tax Rates Import / Export,Import / eksport stawek podatku
Magento Logo,Logo Magento
A name is required,Nazwa jest wymagana
images/logo.gif,images/logo.gif
Email Address,Adres email
Email Preview,Podgląd email
If you do not specify an option value for a store then the default value will be used.,If you do not specify an option value for a store then the default value will be used.<strong>%s</strong>
"of %s pages,z &nbsp<strong>%s</strong> stron"
Account Created on: %s,<strong>Konto utworzone:</strong> %s
"Credit Card Number: xxxx-%s,""<strong>Numer karty kredytowej:</strong> <span class=""""nowrap"""">xxxx-%s</span>"""
Haven't been charged yet,Jeszcze nie opłacony
Customer Notes,Notatki o kliencie
Login,Logowanie
Page,Strona
Add New Address,Dodaj nowy adres
Are you sure that you want to strip all tags?,Czy na pewno chcesz usunąć znaczniki? is a registered Trademark of Irubin Consulting Inc. DBA Varien. &copy" Copyright 2007.,""Magento &trade"" is a registered Trademark of Irubin Consulting Inc. DBA <a href=""""http://www.varien.com"""" target=""""varien_external"""">Varien</a>. &copy"" Copyright 2007."""
"Magento &trade is a registered Trademark of Irubin Consulting Inc. DBA Varien. &copy Copyright 2007.,""Magento &trade is a registered Trademark of Irubin Consulting Inc. DBA <a href=""""http://www.varien.com"""" target=""""varien_external"""">Varien</a>. &copy Copyright 2007."""
Roles Resources,Zasoby dostępne dla grupy
"""Manage Titles (Size, Color, etc.)"",""Zarządzaj tytułami (Rozmiar, Kolor itp.)"""
Are you sure that you want to strip tags?,Czy na pewno chcesz usunąć znaczniki?
Are you sure that you want to remove this item?,Czy na pewno chcesz usunąć produkt?
You cannot remove system attribute from this set.,Nie możesz usunąć cechy systemowej z tego zestawu.
This group contains system attributes. Please move system attributes to another group and try again.,Nie możesz usunąć cech z tego zestawu. Przenieś je do innego zestawu i ponów próbę.
The information in this tab has been changed.,Zawrartość sekcji się zmieniła.
Number of wishlist referrals: %s,Ilość osób poleconych za pośrednictwem listy życzeń: %s
Today is %s,%s
2 stars,2 gwiazdki
