"# of Use","Номер использования"
"Please select a store","Пожалуйста, выберите магазин"
"Please select County","Пожалуйста, выберите страну"
"Please select Customer Tax Class","Пожалуйста, выберите налог покупателя"
"Please select one of each of the ratings above","Пожалуйста, выберите один из рейтингов выше"
"Please select one or more attributes.","Пожалуйста, выберите как минимум один атрибут."
"Please select Product Tax Class","Пожалуйста, выберите налог"
"Please select products to add","Пожалуйста, выберите товары"
"Please select Rate","Пожалуйста, укажите рейтинг"
"Please select State","Пожалуйста, выберите регион"
"Poducts Report","Отчёт по товарам"
"Poll Answers","Ответы опроса"
"Poll information","Информация об опросе"
"Poll Information","Информация об опросе"
"Poll Manager",Опросы
"Poll Question",Вопрос
"Poll was successfully deleted","Опрос успешно удалён"
"Poll was successfully saved","Опрос успешно сохранён"
Polls,Опросы
Popular,Популярные
"Popular Tags","Популярные тэги"
Position,Позиция
Preview,"Предварительный просмотр"
"Preview Template","Предварительный просмотр шаблона"
"Previous page","Предыдущая страница"
Price,Цена
Price:,Цена:
Prices,Цены
"Primary Billing Address","Основной адрес плательщика"
Priority,Приоритет
Processed,Обработан
Product,Товар
"Product Attribute Sets","Наборы атрибутов товара"
"Product attribute was successfully deleted","Атрибут товара успешно удалён"
"Product attribute was successfully saved","Атрибут товара успешно сохранён"
"Product Attributes","Атрибуты товара"
"Product Categories","Категории товара"
"Product deleted","Товар удалён"
"Product duplicated","Товар дублирован"
"Product ID","ID товара"
"Product In Stores","Товар в магазинах"
"Product Information","Информация о товаре"
"Product name","Название товара"
"Product Name","Название товара"
"Product Rating","Рейтинг товара"
"Product Reviews","Отзывы к товару"
"Product saved","Товар сохранён"
"Product SKU","Код товара"
"Product Tags","Тэги товара"
"Product Tags (Total)","Тэги товара (Всего)"
"Product Tax Class","Налог товара"
"Product Tax Class Information","Информация о налоге"
"Product Tax Classes","Налоги для товаров"
"Product Type","Тип товара"
Products,Товары
"Products (Total)","Товары (Всего)"
"Products Report","Отчёт по товарам"
"Products Report (Total)","Отчёт по товарам (Всего)"
"Products Reviews","Отзывы по товарам"
"Products Tagged with '%s'","Товары с тэгами от '%s'"
"Products Tags","Тэги товаров"
"Products' Tags","Тэги товаров"
Promo,Акция
Promotions,Акции
"Purchase On","Дата покупки"
"Purchase Order Number","Номер заказа"
"Purchase Order Number: %s","<strong>Номер заказа:</strong> <span class=""nowrap"">%s</span>"
"Purchased at","Дата покупки"
"Purchased from (store)","Заказано в (магазин)"
"Purchased On","Дата покупки"
Qty,Количество
"Qty Backordered","Количество для возврата"
"Qty Cancelled","Количество отменено"
"Qty Ordered","Заказанное количество"
"Qty Returned","Количество возвращено"
"Qty Shipped","Количество единиц доставлено"
"Qty To Add","Добавить единиц"
"Qty To Return","Количество для возврата"
"Queue Date Start","Начальная дата очереди"
"Queue Finish","Завершить очередь"
"Queue Information","Информация об очереди"
"Queue Newsletter","Очередь рассылки"
"Queue Start","Старт очереди"
"Queue Subject","Тема очереди"
Rate,Оценить
"Rate With %s","Рейтинг с %s"
Rates,Оценки
Rating,Рейтинг
"Rating information","Информация о рейтинге"
"Rating Information","Информация о рейтинге"
"Rating isn't Available","Рейтинг недоступен"
"Rating Name","Название рейтинга"
"Rating Options","Настройки рейтинга"
"Rating Title","Название рейтинга"
"Rating was successfully deleted","Рейтинг успешно удалён"
"Rating was successfully saved","Рейтинг успешно сохранён"
Ratings,Рейтинги
"Recent Orders","Последние заказы"
"Recently Compared","Недавно сравниваемые"
"Recently Viewed","Недавно просмотренные"
Recipients,Получатели
Redirect,Редирект
"Redirect URL","Редирект URL"
Region/State,Регион
"Related Products","Сопутствующие товары"
Remove,Удалить
"Remove Item","Удалить товар"
Reports,Отчёты
Required,Обязательно
Reset,Сбросить
"Reset Filter","Сбросить фильтр"
Results,Результаты
Resume,Продолжить
"Return Html Version","Вернуть Html версию"
Revenue,Доход
Review,Отзыв
"Review Details","Детали отзыва"
"Review successfully deleted","Отзыв успешно удалён"
"Review was saved successfully","Отзыв успешно сохранён"
"Review was successfully saved","Отзыв успешно сохранён"
Reviews,Отзывы
"Reviews &amp; Ratings","Отзывы и рейтинги"
"Reviews Report","Отчёт по отзывам"
"Role ID","ID группы"
"Role Info","Информация о группе"
"Role Information","Информация о группе"
"Role Name","Название группы"
"Role Resources","Права доступа"
"Role successfully deleted.","Группа успешно удалена."
"Role successfully saved.","Группа успешно сохранена."
"Role Users","Пользователи группы"
Roles,Группы
"Roles Resources","Права доступа"
Root,Корень
"Rule Information","Информация о правиле"
"Rule Name","Название правила"
"Rule was successfully deleted","Правило успешно удалено"
"Rule was successfully saved","Правило успешно сохранено"
"Rules were successfully applied","Правильно успешно применены"
"Sales Report","Отчёт по продажам"
"Sales Statistics","Статистика продаж"
"Same as Billing Address","Совпадает с адресом плательщика"
Save,Сохранить
"Save Account","Сохранить данные"
"Save and Apply","Сохранить и применить"
"Save And Continue Edit","Сохранить и продолжить редактирование"
"Save And Resume","Сохранить и продолжить"
"Save Answer","Сохранить ответ"
"Save Attribute","Сохранить атрибут"
"Save Attribute Set","Сохранить набор атрибутов"
"Save Block","Сохранить блок"
"Save Category","Сохранить категорию"
"Save Class",Сохранить
"Save config",Сохранить
"Save Currency","Сохранить валюту"
"Save Customer","Сохранить покупателя"
"Save Customer Group","Сохранить группу покупателей"
"Save Invoice","Сохранить счёт"
"Save Newsletter","Сохранить рассылку"
"Save Order","Сохранить заказ"
"Save Page","Сохранить страницу"
"Save Poll","Сохранить опрос"
"Save Rate","Сохранить рейтинг"
"Save Rating","Сохранить рейтинг"
"Save Review","Сохранить отзыв"
"Save Role","Сохранить группу"
"Save Rule","Сохранить правило"
"Save Search","Сохранить поиск"
"Save Store","Сохранить магазин"
"Save Tag","Сохранить тэг"
"Save Template","Сохранить шаблон"
"Save User","Сохранить пользователя"
"Save Website","Сохранить веб сайт"
Search,Поиск
"Search Information","Информация о поиске"
"Search Query","Поисковый запрос"
"Search Report","Отчёт по поиску"
"Search was successfully deleted","Поиск успешно удалён"
"Search was successfully saved","Поиск успешно сохранён"
Searchable,"Возможен поиск"
"Searchable on Front-end","Разрешён поиск в каталоге"
"SEF URL Identifier","URL идентификатор"
"Select All","Выбрать всё"
"Select All Stores","Выбрать все магазины"
"Select Configurable Attributes","Выбрать настраиваемые атрибуты"
"Select from existing customer addresses:","Выберите из существующих адресов покупателя:"
"Selected problem subscribers successfully unsubscribed","Выбранные подписчики успешно удалены из рассылки"
"Selected problems successfully deleted","Выбранные проблемы успешно удалены"
"Selected subscribers were successfully added to the selected queue","Выбранные подписчики успешно добавлены в выбранную очередь"
"Send auto-generated password","Отправить автоматически сгенерированный пароль"
"Send Comment to the Customer","Отправить комментарий покупателю"
Sender,Отправитель
"Sender Email","Email отправителя"
"Sender Name","Имя отправителя"
Sending,Отправка
Sent,Отправлено
"Session Start Time","Время старта сессии"
"Set as Default Billing Address","Установить как адрес плательщика по умолчанию"
"Set as Default Shipping Address","Установить как адрес доставки по умолчанию"
"Set Name","Установить название"
"Set Root Category For Store","Установить корневую категорию для магазина"
"Set root category for this store in the <a href=""%s"">configuration</a>","Установите корневую категорию для данного магазина в <a href=""%s"">настройках</a>"
Settings,Настройки
"Ship to First name","Доставка (Имя)"
"Ship to Last name","Доставка (Фамилия)"
"Shipped to First Name","Доставка по имени"
"Shipped to Last Name","Отправлено для"
Shipping,Доставка
"Shipping Address","Адрес доставки"
"Shipping Method","Способ доставки"
"Shipping Price","Стоимость доставки"
"Shopcart Products","Товары в корзине"
"Shopping Cart",Корзина
"Shopping Cart Price Rules","Политика цен в корзине"
"Shopping Cart Report","Отчёт по корзине"
"Signed Up From","Форма регистрации"
SKU,"Код товара"
"Something went wrong...","Что-то пошло не так..."
"Sorry, no quotes are available for this order at this time.","Извините, нет необходимого количества для данного заказа в данное время."
"Sorry, this feature is coming soon...","Извините, данная возможность будет доступна позже..."
"Sort order","Порядок сортировки"
"Sort Order","Порядок сортировки"
"Source Model","Исходная модель"
Start,Старт
State,Регион
State/Province,Регион
Static,Статичный
"Static Blocks","Статичные блоки"
Status,Статус
"Stop further rules processing","Остановить обработку"
Store,Магазин
"Store Code","Код магазина"
"Store Information","Информация о магазине"
"Store Name","Название магазина"
"Store was successfully saved","Магазин успешно сохранён"
Stores,Магазины
"Street Address",Адрес
Subcribed,Подписан
Subject,Тема
"Submit Credit Memo","Добавить информацию о кредитной карточке"
"Submit Invoice","Добавить счёт"
"Submit Order","Добавить заказ"
"Subscribe to Newsletter","Подписаться на рассылку"
"Subscribed to Newsletter?","Подписаться на рассылку?"
Subscriber,Подписчик
Subscribers,Подписчики
"Subscribers From","Подписчики от"
Subtotal,"Стоимость товара"
"Summary of Review","Отзыв кратко"
"Summary of review","Отзыв кратко"
"Summary Rating","Общий рейтинг"
"Super product attributes configuration","Настройка атрибутов товара"
"Synonym For","Синоним для"
"Synonym for","Синоним для"
System,Система
"System Properties","Системные настройки"
Tag,Тэг
"Tag Detail","Информация о тэге"
"Tag Name","Название тэга"
"Tag use","Используемый тэг"
"Tag was successfully deleted","Тэг успешно удалён"
"Tag was successfully saved","Тэг успешно сохранён"
Tags,Тэги
"Tags Report","Отчёт по тэгам"
Tax,Налог
"Tax Amount","Величина налога"
"Tax Class",Налог
"Tax class",Налог
"Tax class was successfully deleted","Налог успешно удалён"
"Tax class was successfully saved","Налог успешно сохранён"
"Tax Rate","Ставка налога"
"Tax Rate Information","Информация о ставке налога"
"Tax rate was successfully deleted","Налог успешно удалён"
"Tax rate was successfully saved","Налог успешно сохранён"
"Tax Rates","Ставки налога"
"Tax rates file has been successfully imported","Файл с налогами успешно испортирован"
"Tax Rates Import / Export","Импорт / Экспорт ставок налога"
"Tax Rule Information","Информация и налоге"
"Tax rule was successfully deleted","Правило налога успешно удалено"
"Tax rule was successfully saved","Налог успешно сохранён"
"Tax Rules","Правила налога"
Telephone,Телефон
"Template Content","Содержимое шаблона"
"Template Information","Информация о шаблоне"
"Template Name","Название шаблона"
"Template Subject","Тема шаблона"
"Template Type","Тип шаблона"
Text,Текст
"Text Area","Блок текста"
"Text Field","Текстовое поле"
"The block you are trying to save no longer exists","Блок, который Вы хотите сохранить, не существует"
"The information in this tab has been changed.","Информация в данной закладке была изменена."
"The invoice you are trying to create credit memo for no longer exists","Счёт не существует"
"The order you are trying to create invoice for no longer exists","Заказ, для которого Вы пытаетесь создать счёт, не существует"
"The page you are trying to save no longer exists","Страница, которую Вы пытаетесь сохранить, больше не существует"
"There are no items in customer's shopping cart at the moment","На данный момент нет товаров в корзине покупателя"
"There are no items in customer's wishlist at the moment","На данный момент покупатель не отметил ни одного товара"
"There is already a customer registered using this email","Покупатель с таким email адресом уже зарегистрирован"
"This account is","Данная учётная запись"
"This attribute no longer exists","Данный атрибут не существует"
"This attribute shares the same value in all the stores","Данный атрибут пересекается с атрибутом с таким же значениеам"
"This block no longer exists","Данный блок не существует"
"This group contains system attributes. Please move system attributes to another group and try again.","Данная группа содержит системные атрибуты. Пожалуйста, переместите системные атрибуты в другую группу и попробуйте снова."
"This invoice no longer exists","Данный счёт не существует"
"This order no longer exists","Данный заказ не существует"
"This page no longer exists","Данная страница больше не существует"
"This rule no longer exists","Данное правило не существует"
"This search no longer exists","Данный поиск больше не существует"
"This tab contains invalid data. Please solve the problem before saving.","Данная закладка содержит неверные данные. Пожалуйста, исправьте проблему перед сохранением."
"This user already added to the role.","Данный пользователь уже добавлен в группу."
"This user no longer exists","Данный пользователь больше не существует"
Thumbnail,"Маленькая картинка"
"Tier Pricing","Многоуровневое ценообразование"
Time,Время
Title,Заголовок
To,До
"To Date","Дата до"
"Today is %s","Сегодня %s"
"Toggle Editor","Переключить редактор"
Tools,Инструменты
Total,Всего
"Total %d records found","Всего записей: <strong>%d</strong>"
"Total Due",Всего
"Total Paid","Всего оплачено"
"Total Tags","Всего тэгов"
"Transactional Emails","Шаблоны писем"
Type,Тип
"Unable to apply rules","Не могу применить правила"
"Unable to complete request. Please try again later.","Не могу завершить запрос. Пожалуйста, попробуйте позже."
"Unable to find a block to delete","Не могу найти блок для удаления"
"Unable to find a page to delete","Не могу найти страницу для удаления"
"Unable to find a poll to delete","Не могу найти опрос для удаления"
"Unable to find a tag to delete","Не могу найти тэг для удаления"
"Unable to find a user to delete","Не найден пользователь для удаления"
"Unable to find an attribute to delete","Не найден атрибут для удаления"
"Unable to find answer to delete.","Не могу найти ответ для удаления."
"Unable to get product id.","Не найден id код товара."
"Unassigned Attributes","Не назначенные атрибуты"
"Unique Value (not shared with other products)","Уникальное значение (не должно повторяться с другими товарами)"
Unknown,"Нет данных"
"Unselect All Stores","Снять выделение со всех магазинов"
Unsubcribed,"Не подписан"
"Unsubscribe Selected","Отказ от подписки выбран"
Up-sells,Продажи
"Update Qty","Обновить количество"
Url,"Url адрес"
"Use advanced conditions","Использовать расширенные условия"
"Use default","Использовать значение по умолчанию"
"Use In Layered Navigation","Использовать в многоуровневой навигации"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Используется в многоуровневой навигации<br/>(Может быть использовано только с выпадающим списком (Dropdown))"
"Use website","Использовать веб сайт"
"User description","Описание пользователя"
"User Email","Email пользователя"
"User ID","ID пользователя"
"User Info","Информация о пользователе"
"User Information","Информация о пользователе"
"User Name","Имя пользователя"
"User Name:","Имя пользователя:"
"User Role","Группа пользователя"
"User Roles","Группы пользователя"
"User Roles Information","Информаци о группе пользователя"
"User was successfully deleted","Пользователь успешно удалён"
"User was successfully saved","Пользователь успешно сохранён"
"User with the same User Name or Email aleady exists","Пользователь с таким именем и email адресом уже существует"
Users,Пользователи
"Uses per coupon","Купон использован раз"
"Uses per customer","Использований покупателем"
"Values Required","Обязательные значения"
Varchar,Текст
View,Показывать
"View Customers","Смотреть покупателей"
"View Invoice","Смотреть счёт"
"View Newsletter","Смотреть рассылку"
"View Order","Смотреть заказ"
"View Products","Смотреть товары"
"Virtual Products","Виртуальные товары"
Visibility,Видимость
Visible,Виден
"Visible In","Видимый в"
"Visible on Catalog Pages on Front-end","Виден в каталоге на главной странице"
Visitor,Посетитель
Visitors,Посетителей
"Visitors Only","Только для посетителей"
"Votes Count","Количество голосов"
"Votes Count:",Голосов:
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Это стоит в наших планах.<br/>Спасибо за Ваше терпение."
Website,"Веб сайт"
"Website Code","Код веб сайта"
"Website Information","Информация о веб сайте"
"Website Name","Название веб сайта"
"Website was successfully saved","Веб сайт успешно сохранён"
"What is this?","Что это?"
"Who's Online","Кто в онлайне"
Wishlist,"Отмеченные товары"
"Wishlist Report","Отчёт по отмеченным товарам"
"Wishlist vs. Regular Order","Отмеченные товары против стандартного заказа"
Wishlists,"Отмеченные товары"
"Wrong column format","Неверный формат колонки"
"Wrong tab configuration","Неверная настройка закладки"
XML,XML
Yes,Да
Yes/No,Да/Нет
"You can not delete self assigned roles.","Вы не можете удалить данную группу."
"You cannot delete account of yourself","Вы не можете удалить свою учётную запись"
"You cannot delete this attribute","Вы не можете удалить данный атрибут"
"You cannot edit this attribute","Вы не можете редактировать данный атрибут"
"You cannot remove system attribute from this set.","Вы не можете удалять системный атрибут из данного набора."
"You cannot update this attribute","Вы не можете обновить данный атрибут"
"You have not enought permissions to login.","У Вас нет необходимых прав доступа для входа."
"You successfully logged out.","Вы успешно вышли."
"ZIP/Post Code","Почтовый индекс"
"Zip/Post Code","Почтовый индекс"
"ZIP/Postal Code","Почтовый индекс"
"Zip/Postal Code","Почтовый индекс"
"﻿""Sales""",Продажи
